suite,dimension,budget,comparison_scope,function,function_class,competitor,reference,n_competitor,n_reference,u_competitor,probability_competitor_lower,mean_rank_competitor,mean_rank_msc,median_competitor,median_msc,p_raw,test_family_size,correction,p_holm,alpha,mwu_symbol
cec2014,10,100000,all,22,hybrid,CMAES-NBC,MSC-CMA,51,51,1718,0.33948481353325644,59.686274509803923,43.313725490196077,21.9903519887412,20.436836921025588,0.0052568373390888727,30,holm-bonferroni,0.026284186695444363,0.05,<
cec2014,10,100000,all,23,composition,CMAES-NBC,MSC-CMA,51,51,612,0.76470588235294112,38,65,200,300.00000000020373,8.0499739897850729e-07,30,holm-bonferroni,8.0499739897850721e-06,0.05,>
cec2014,10,100000,all,24,composition,CMAES-NBC,MSC-CMA,51,51,1805,0.30603613994617451,61.392156862745097,41.607843137254903,107.87509727621401,106.59501597065992,0.00073489499449564419,30,holm-bonferroni,0.005144264961469509,0.05,<
cec2014,10,100000,all,25,composition,CMAES-NBC,MSC-CMA,51,51,2267,0.12841214917339483,70.450980392156865,32.549019607843135,196.425748934415,116.43221169254275,1.0047545402532682e-10,30,holm-bonferroni,1.6076072644052291e-09,0.05,<
cec2014,10,100000,all,26,composition,CMAES-NBC,MSC-CMA,51,51,51,0.98039215686274506,27,76,100.0273884819,100.19251325086498,6.3149548680310421e-17,30,holm-bonferroni,1.2629909736062085e-15,0.05,>
cec2014,10,100000,all,27,composition,CMAES-NBC,MSC-CMA,51,51,2527,0.028450595924644384,75.549019607843135,27.450980392156861,200,2.3682339283668625,5.693089994288196e-18,30,holm-bonferroni,1.2524797987434031e-16,0.05,<
cec2014,10,100000,all,28,composition,CMAES-NBC,MSC-CMA,51,51,612,0.76470588235294112,38,65,200,372.12153116836953,8.548727727699867e-07,30,holm-bonferroni,8.0499739897850721e-06,0.05,>
cec2014,10,100000,all,29,composition,CMAES-NBC,MSC-CMA,51,51,255,0.90196078431372551,31,72,200,224.30014824747741,7.6260059657795557e-14,30,holm-bonferroni,1.37268107384032e-12,0.05,>
cec2014,10,100000,all,30,composition,CMAES-NBC,MSC-CMA,51,51,0,1,26,77,200,472.57521579918148,1.3905886961424435e-20,30,holm-bonferroni,4.0327072188130864e-19,0.05,>
cec2014,10,100000,composition,23,composition,CMAES-NBC,MSC-CMA,51,51,612,0.76470588235294112,38,65,200,300.00000000020373,8.0499739897850729e-07,8,holm-bonferroni,2.4149921969355219e-06,0.05,>
