suite,dimension,budget,function,function_class,reference,opponent,n_reference,n_opponent,u_reference,probability_conly_lower,median_conly,median_opponent,p_raw,bonferroni_family_size,p_bonferroni,alpha,decision
cec2020,20,10000000,8,composition,MSC-CMA-Conly,BIPOP-CMA,51,51,120,0.95386389850057673,35.429405013773703,100.00000000000045,9.967214466764151e-16,3,2.9901643400292451e-15,0.05,conly better
cec2020,20,10000000,9,composition,MSC-CMA-Conly,BIPOP-CMA,51,51,864,0.66782006920415227,100.00000000004684,200.00000000000455,0.0035206561437155165,3,0.01056196843114655,0.05,conly better
cec2020,20,10000000,10,composition,MSC-CMA-Conly,BIPOP-CMA,51,51,64,0.97539407920030752,399.33359133484873,413.65733976634874,1.2210321458670043e-16,3,3.6630964376010126e-16,0.05,conly better
cec2020,20,10000000,8,composition,MSC-CMA-Conly,LSRTDE,51,51,0,1,35.429405013773703,100.00000000000045,6.8831868019631798e-19,3,2.064956040588954e-18,0.05,conly better
cec2020,20,10000000,9,composition,MSC-CMA-Conly,LSRTDE,51,51,0,1,100.00000000004684,377.29914251736591,3.2180953329557991e-18,3,9.6542859988673978e-18,0.05,conly better
cec2020,20,10000000,10,composition,MSC-CMA-Conly,LSRTDE,51,51,0,1,399.33359133484873,413.65733976634874,8.5645141641476821e-19,3,2.5693542492443047e-18,0.05,conly better
cec2020,20,10000000,8,composition,MSC-CMA-Conly,NLSHADE-RSP,51,51,4,0.99846212995001926,35.429405013773703,100.00000000000045,1.5064814591955339e-18,3,4.5194443775866014e-18,0.05,conly better
cec2020,20,10000000,9,composition,MSC-CMA-Conly,NLSHADE-RSP,51,51,2351,0.096116878123798544,100.00000000004684,100.00000000000045,4.6169019293752228e-13,3,1.3850705788125669e-12,0.05,opponent better
cec2020,20,10000000,10,composition,MSC-CMA-Conly,NLSHADE-RSP,51,51,1600,0.38485198000768939,399.33359133484873,399.09335167928793,0.045278351428752063,3,0.1358350542862562,0.05,not significant
cec2020,20,10000000,8,composition,MSC-CMA-Conly,j2020,51,51,90,0.96539792387543255,35.429405013773703,100.00000000000091,5.4444361211935484e-17,3,1.6333308363580644e-16,0.05,conly better
cec2020,20,10000000,9,composition,MSC-CMA-Conly,j2020,51,51,230,0.91157247212610537,100.00000000004684,411.80422637120728,7.9810472660677118e-13,3,2.3943141798203135e-12,0.05,conly better
cec2020,20,10000000,10,composition,MSC-CMA-Conly,j2020,51,51,1997,0.23221837754709729,399.33359133484873,399.09335167928612,3.1718980667317497e-06,3,9.5156942001952491e-06,0.05,opponent better
cec2020,20,10000000,8,composition,MSC-CMA-Conly,jSO,51,51,0,1,35.429405013773703,100.00000000000045,1.3905886961424435e-20,3,4.1717660884273309e-20,0.05,conly better
cec2020,20,10000000,9,composition,MSC-CMA-Conly,jSO,51,51,0,1,100.00000000004684,393.01292259675711,3.2936696757663775e-18,3,9.8810090272991328e-18,0.05,conly better
cec2020,20,10000000,10,composition,MSC-CMA-Conly,jSO,51,51,0,1,399.33359133484873,413.65733976634874,6.1433343953729947e-19,3,1.8430003186118983e-18,0.05,conly better
